h,error
1.0e-1,9.00e-4
1.0e-2,9.00e-6
1.0e-3,9.01e-8
1.0e-4,9.00e-10
1.0e-5,1.11e-11
1.0e-6,2.77e-11
1.0e-7,1.94e-10
1.0e-8,2.97e-9
1.0e-9,2.97e-9
1.0e-10,5.85e-8
1.0e-11,1.17e-6
1.0e-12,1.23e-5
1.0e-13,1.79e-4
1.0e-14,3.71e-3
1.0e-15,1.48e-2
1.0e-16,1.48e-2
